Entity,D1,POPULATION,D2,INTERNET,D3
Germany,"69,304,405","82,114,224",9,0.8440,36
Ghana,"10,922,179","28,833,629",47,0.3788,140
Gibraltar,"32,494","34,571",202,0.9444,-
Greece,"7,799,565","11,159,773",58,0.6989,77
Greenland,"39,242","56,480",197,0.6948,81
Grenada,"63,692","107,825",188,0.5907,104
Guam,"132,221","164,229",175,0.8051,49
Guatemala,"6,883,796","16,913,503",68,0.4070,137
Guinea,"1,449,758","12,717,176",127,0.1140,195
Guinea-Bissau,"73,148","1,861,283",180,0.0393,207
Guyana,"290,375","777,859",167,0.3733,142
Haiti,"1,353,986","10,981,229",131,0.1233,192
Honduras,"2,977,793","9,265,067",102,0.3214,151
Hong Kong,"6,585,678","7,364,883",70,0.8942,25
Hungary,"7,461,297","9,721,559",63,0.7675,60
Iceland,"329,196","335,025",164,0.9826,3
India,"461,347,554","1,339,180,127",2,0.3445,145
Indonesia,"85,242,816","263,991,379",7,0.3229,150
Iran,"49,038,556","81,162,788",15,0.6042,101
Iraq,"18,892,351","38,274,618",38,0.4936,123
Ireland,"4,024,552","4,761,657",96,0.8452,34
Israel,"6,788,737","8,321,570",69,0.8158,43
Italy,"36,387,619","59,359,900",21,0.6130,98
Ivory Coast,"10,650,818","24,294,750",48,0.4384,133
Jamaica,"1,409,888","2,890,299",129,0.4878,127
Japan,"115,845,120","127,484,450",5,0.9087,23
Jersey,"38,958","165,314",198,0.4103,-
Jordan,"6,480,202","9,702,353",71,0.6679,85
Kazakhstan,"13,913,699","18,204,499",44,0.7643,61
Kenya,"8,861,485","49,699,862",55,0.1783,181
Kiribati,"16,971","116,398",205,0.1458,185
Kuwait,"4,053,797","4,136,528",95,0.9800,5
Kyrgyzstan,"2,309,235","6,045,117",114,0.3820,139
Laos,"1,749,517","6,858,160",121,0.2551,167
Latvia,"1,585,471","1,949,670",125,0.8132,45
Lebanon,"4,755,187","6,082,357",86,0.7818,57
Lesotho,"665,312","2,233,339",147,0.2979,157
Liberia,"377,607","4,731,906",159,0.0798,203
Libya,"1,387,116","6,374,616",130,0.2176,173
Liechtenstein,"37,201","37,922",201,0.9810,4
Lithuania,"2,243,448","2,890,297",115,0.7762,58
Luxembourg,"570,794","583,455",149,0.9783,6
Macau,"517,789","622,567",151,0.8317,37
Macedonia,"1,589,659","2,083,160",124,0.7631,62
Madagascar,"2,505,948","25,570,895",108,0.0980,198
Malawi,"2,566,126","18,622,104",106,0.1378,188
Malaysia,"25,343,685","31,624,264",30,0.8014,52
Maldives,"275,717","436,330",169,0.6319,95
Mali,"2,358,540","18,541,980",113,0.1272,190
Malta,"344,970","430,835",161,0.8007,53
Marshall Islands,"20,560","53,127",203,0.3870,138
Mauritania,"919,398","4,420,184",144,0.2080,176
Mauritius,"702,911","1,265,138",146,0.5556,113
Mexico,"82,470,752","129,163,276",8,0.6385,92
"Micronesia, Federated States of","37,257","105,544",200,0.3530,144
Moldova,"3,083,783","4,051,212",100,0.7612,63
Monaco,"37,553","38,695",199,0.9705,10
Mongolia,"729,236","3,075,647",145,0.2371,169
Montenegro,"448,260","628,960",154,0.7127,75
Montserrat,"2,833","5,177",212,0.5455,115
Morocco,"22,072,765","35,739,580",32,0.6176,97
Mozambique,"6,162,217","29,668,834",76,0.2077,177
Myanmar,"16,374,103","53,370,609",40,0.3068,154
Namibia,"933,450","2,533,794",142,0.3684,143
Nauru,"6,475","11,359",208,0.5700,110
Nepal,"6,271,270","29,304,998",73,0.2140,174
Netherlands,"15,877,494","17,035,938",41,0.9320,20
New Caledonia,"226,557","276,255",171,0.8201,40
New Zealand,"4,273,353","4,705,818",91,0.9081,24
Nicaragua,"1,732,218","6,217,581",122,0.2786,159
Niger,"2,194,985","21,477,348",116,0.1022,197
Nigeria,"30,557,175","190,015,955",12,0.2751,161
Niue,"1,034","1,618",214,0.8690,30
Norway,"5,120,225","5,305,383",81,0.9651,11
Oman,"3,717,818","4,636,262",97,0.8019,51
Pakistan,"61,837,331","220,800,300",25,0.3068,184
Palestinian Authority,"3,208,312","4,920,724",99,0.6520,87
Panama,"2,371,852","4,098,587",110,0.5787,106
Papua New Guinea,"924,955","8,251,162",143,0.1121,196
Paraguay,"4,160,340","6,811,297",93,0.6108,99
Peru,"15,674,241","32,165,485",42,0.4873,128
Philippines,"63,003,313","104,918,090",10,0.6005,103
Poland,"29,005,924","38,170,712",28,0.7599,66
Portugal,"7,622,142","10,329,506",61,0.7379,70
Puerto Rico,"2,664,928","3,663,131",104,0.7275,71
Qatar,"2,532,059","2,639,211",107,0.9594,13
Republic of the Congo,"455,055","5,260,750",152,0.0865,199
Romania,"12,545,558","19,679,306",45,0.6375,93
Russia,"109,446,612","143,989,754",6,0.7601,64
Rwanda,"2,657,770","12,208,407",105,0.2177,172
Saint Helena,"2,906","4,534",210,0.3760,-
Saint Kitts and Nevis,"44,669","55,345",195,0.8071,48
Saint Lucia,"90,889","178,844",177,0.5082,119
Saint Vincent and the Grenadines,"72,048","109,897",182,0.6556,86
Samoa,"66,023","196,440",187,0.3361,149
San Marino,"20,100","33,400",204,0.6018,102
São Tomé and Príncipe,"61,155","204,327",189,0.2993,156
Saudi Arabia,"27,048,861","32,938,213",29,0.8212,39
Senegal,"4,698,108","15,850,567",87,0.2964,158
Serbia,"6,182,411","8,790,574",75,0.7033,76
Seychelles,"55,677","94,737",191,0.5877,105
Sierra Leone,"1,000,575","7,557,212",137,0.1324,189
Singapore,"4,821,119","5,708,844",84,0.8445,35
Slovakia,"4,446,926","5,447,662",90,0.8163,42
Slovenia,"1,640,893","2,079,976",123,0.7889,55
Solomon Islands,"72,872","611,343",181,0.1192,193
Somalia,"294,851","14,742,523",166,0.0200,208
South Africa,"31,858,027","56,717,156",24,0.5617,111
South Korea,"48,484,084","50,982,212",16,0.9510,15
South Sudan,"1,003,542","12,575,714",136,0.0798,202
Spain,"39,215,756","46,354,321",19,0.8460,33
Sri Lanka,"7,121,116","20,876,917",64,0.3411,147
Sudan,"12,512,639","40,533,330",46,0.3087,153
Suriname,"275,785","563,402",168,0.4895,126
Swaziland,"414,278","1,367,254",156,0.3030,155
Sweden,"9,554,907","9,910,701",51,0.9641,12
Switzerland,"7,942,864","8,476,005",57,0.9371,19
Syria,"6,257,430","18,269,868",74,0.3425,146
Taiwan,"21,920,626","23,626,456",33,0.9278,21
Tajikistan,"1,959,127","8,921,343",120,0.2196,171
Tanzania,"9,169,603","57,310,019",53,0.1600,182
Thailand,"36,513,941","69,037,513",20,0.5289,117
The Bahamas,"336,057","395,361",162,0.8500,32
The Gambia,"416,753","2,100,568",155,0.1984,178
Timor Leste,"356,356","1,296,311",160,0.2749,162
Togo,"963,795","7,797,694",139,0.1236,191
Tonga,"44,558","108,020",196,0.4125,136
Trinidad and Tobago,"1,058,744","1,369,125",134,0.7733,59
Tunisia,"6,400,330","11,532,127",72,0.5550,114
Turkey,"52,225,879","80,745,020",14,0.6468,89
Turkmenistan,"1,223,591","5,758,075",132,0.2125,175
Tuvalu,"5,520","11,192",209,0.4932,124
U.S. Virgin Islands,"67,535","104,901",185,0.6438,90
Uganda,"10,162,807","42,862,958",49,0.2371,168
Ukraine,"25,260,147","44,222,947",31,0.5712,109
United Arab Emirates,"8,913,217","9,400,145",54,0.9482,17
United Kingdom,"62,621,016","66,181,585",11,0.9462,18
United States,"244,090,854","324,459,463",3,0.7523,68
Uruguay,"2,360,269","3,456,750",112,0.6828,82
Uzbekistan,"16,692,456","31,910,641",39,0.5231,118
Vanuatu,"71,050","276,244",183,0.2572,166
Venezuela,"20,564,451","31,977,065",35,0.6431,91
Vietnam,"47,359,575","95,540,800",17,0.4957,122
Wallis and Futuna,"1,383","11,773",213,0.0895,-
Yemen,"7,548,512","28,250,420",62,0.2672,164
Zambia,"4,760,715","17,094,130",85,0.2785,160
Zimbabwe,"4,472,992","16,529,904",89,0.2706,163
